userid age dob_day dob_year dob_month gender tenure friend_count friendships_initiated likes likes_received mobile_likes mobile_likes_received www_likes www_likes_received
1758828 38 6 1975 5 male 410 6 4 1 0 1 0 0 0
2057349 46 20 1967 12 male 620 25 18 0 5 0 3 0 2
1955607 103 2 1910 9 male 1200 157 80 221 178 221 135 0 43
1652410 50 26 1963 7 female 581 107 77 3 1 3 1 0 0
1366472 20 15 1993 12 male 496 44 20 1 14 1 13 0 1
1575208 18 22 1995 3 male 420 493 293 177 71 163 29 14 42
1522520 103 11 1910 10 male 1487 405 162 1355 848 129 253 1226 595
1341520 62 16 1951 2 female 334 73 64 265 315 265 247 0 68
2048046 68 20 1945 4 male 1005 980 642 25 68 25 49 0 19
1378816 52 5 1961 5 male 426 295 140 92 123 92 93 0 30
2085014 35 18 1978 10 male 467 68 46 160 125 134 95 26 30
1011035 21 14 1992 5 female 276 261 110 30 53 22 36 8 17
1850060 16 14 1997 2 male 786 505 50 30 249 20 160 10 89
1839761 14 30 1999 8 male 364 136 94 134 5 134 4 0 1
1634457 32 8 1981 12 male 6 9 5 0 0 0 0 0 0
1102650 18 3 1995 8 male 467 215 195 8 49 6 45 2 4
1859550 25 9 1988 10 male 458 181 142 1 0 1 0 0 0
1645553 25 1 1988 1 male 245 0 0 0 0 0 0 0 0
1309010 17 8 1996 6 male 431 72 30 71 34 71 24 0 10
1873930 18 25 1995 12 male 297 201 171 0 1 0 0 0 1
2153927 34 9 1979 3 male 168 33 30 0 1 0 1 0 0
1587675 20 9 1993 10 male 651 254 100 3 16 3 16 0 0
1022065 19 16 1994 8 male 1527 1597 1001 393 1236 132 603 261 633
1871594 46 11 1967 4 male 897 399 156 44 221 44 189 0 32
2088013 22 21 1991 5 male 596 73 37 6 27 6 17 0 10
1310757 17 20 1996 3 female 341 203 100 18 1 0 1 18 0
1300943 23 25 1990 8 female 113 14 11 2 0 2 0 0 0
1720601 36 18 1977 3 male 451 3 1 0 2 0 2 0 0
1835382 16 9 1997 12 male 100 91 73 12 3 12 2 0 1
1312561 17 27 1996 7 male 40 115 94 12 45 12 25 0 20
1224787 29 4 1984 12 male 267 46 16 0 0 0 0 0 0
1067102 20 26 1993 1 male 710 201 183 11 3 11 1 0 2
2118009 51 16 1962 12 male 987 123 36 12 29 12 23 0 6
1591518 43 9 1970 1 male 195 161 129 15 1 15 0 0 1
1723651 36 16 1977 6 male 89 29 8 0 0 0 0 0 0
1322591 67 24 1946 10 male 289 117 91 4 2 0 1 4 1
1304695 16 13 1997 10 female 67 279 235 1183 239 1183 206 0 33
1200717 21 8 1992 8 female 377 207 41 16 120 16 63 0 57
1729866 22 8 1991 4 female 413 168 83 188 294 188 205 0 89
1154690 25 8 1988 12 female 720 215 123 66 81 1 39 65 42
1278288 22 21 1991 9 male 588 90 22 5 2 1 1 4 1
1706855 42 1 1971 1 male 294 33 24 22 1 22 0 0 1
1057170 52 28 1961 10 male 195 45 34 2 1 0 0 2 1
2049936 21 14 1992 3 male 163 245 197 792 253 775 109 17 144
1289727 16 3 1997 5 male 637 1339 910 13 25 13 18 0 7
1974238 76 16 1937 5 male 687 218 174 40 9 0 1 40 8
1663599 25 9 1988 3 female 483 146 19 46 61 46 20 0 41
1316174 49 27 1964 2 female 734 35 25 1 0 1 0 0 0
2049850 57 7 1956 4 male 478 49 28 39 4 11 2 28 2
1071600 21 26 1992 5 female 351 56 40 40 8 31 1 9 7
1106680 16 24 1997 1 female 71 0 0 0 0 0 0 0 0
1668434 31 29 1982 12 female 547 139 45 1390 581 1384 478 6 103
2170780 32 13 1981 12 female 588 56 27 19 68 11 27 8 41
1841604 67 18 1946 12 female 1787 124 81 1338 409 664 102 674 307
1469376 58 18 1955 3 male 197 13 10 225 0 0 0 225 0
1863253 40 8 1973 11 male 893 38 21 1 0 0 0 1 0
1314375 16 24 1997 1 male 375 548 380 139 81 89 23 50 58
1803719 39 12 1974 1 female 126 125 82 17 63 17 58 0 5
1050481 22 4 1991 4 female 302 124 72 62 61 43 26 19 35
1956090 21 10 1992 5 female 385 77 57 6 0 0 0 6 0
2157800 28 24 1985 2 male 4 1 1 1 2 1 2 0 0
1984860 19 16 1994 3 female 1124 481 250 1889 1287 1842 549 47 738
1355326 30 24 1983 3 male 1005 49 27 0 4 0 0 0 4
1039722 53 17 1960 6 female 462 231 48 0 1 0 1 0 0
1171737 20 1 1993 10 male 822 35 26 0 0 0 0 0 0
1169248 74 1 1939 1 male 1611 248 146 0 3 0 2 0 1
2080096 35 16 1978 5 female 523 105 70 2 50 2 42 0 8
1082330 25 14 1988 5 male 340 36 30 0 0 0 0 0 0
1223605 18 8 1995 4 male 796 11 6 3 1 0 1 3 0
1886761 25 1 1988 1 male 222 2 0 0 0 0 0 0 0
1191725 34 1 1979 8 male 741 62 54 76 92 76 75 0 17
2139438 28 18 1985 2 male 156 2 2 18 21 17 14 1 7
1263913 42 11 1971 2 female 376 1 1 2 0 0 0 2 0
1914885 47 17 1966 6 male 512 64 50 3 3 2 2 1 1
2124268 25 16 1988 2 male 234 25 21 0 0 0 0 0 0
1803038 23 1 1990 10 female 400 16 6 26 3 0 2 26 1
2063340 52 29 1961 10 female 188 85 59 105 386 30 109 75 277
1679869 29 25 1984 8 male 59 14 13 0 4 0 4 0 0
1441344 21 18 1992 3 female 440 1244 421 40 736 24 97 16 639
1122158 15 21 1998 10 female 327 956 581 124 256 124 142 0 114
1120606 20 3 1993 1 male 652 188 166 53 2 41 2 12 0
1678443 17 18 1996 10 male 18 9 5 3 0 3 0 0 0
1031614 44 14 1969 6 female 376 31 24 73 46 73 24 0 22
1666559 22 1 1991 1 male 532 149 113 34 12 34 12 0 0
1603264 23 14 1990 3 male 426 161 139 0 4 0 4 0 0
2016092 36 30 1977 12 female 259 129 114 210 1 210 1 0 0
1566554 18 4 1995 3 male 213 0 0 0 0 0 0 0 0
2086727 53 24 1960 3 male 506 4 3 0 0 0 0 0 0
2088570 103 1 1910 6 male 1652 350 292 3 0 0 0 3 0
2045647 18 4 1995 8 male 73 16 11 0 0 0 0 0 0
1598236 36 11 1977 9 female 561 26 22 0 0 0 0 0 0
1269809 23 27 1990 4 male 237 159 132 305 23 213 20 92 3
1755220 18 18 1995 7 male 218 132 108 0 9 0 8 0 1
1810034 36 16 1977 8 male 97 53 51 15 4 15 1 0 3
1671662 49 9 1964 9 female 733 166 141 984 316 983 230 1 86
1570765 72 24 1941 1 female 46 113 45 25 20 4 6 21 14
1658607 28 6 1985 3 male 440 18 3 1 1 1 0 0 1
1052176 24 5 1989 6 male 139 20 16 50 2 0 0 50 2
1047901 28 20 1985 11 male 541 225 165 52 3 52 1 0 2
1430792 24 21 1989 8 male 677 179 162 51 34 51 32 0 2
1487919 17 8 1996 10 male 81 79 60 13 4 7 1 6 3
1248835 14 30 1999 11 female 460 2611 656 1551 1781 1355 1131 196 650
1637140 19 2 1994 11 male 680 1003 224 17 17 10 6 7 11
1552610 39 7 1974 3 female 479 196 125 422 180 92 128 330 52
1838962 21 14 1992 7 male 543 35 16 1 6 1 6 0 0
2141512 61 31 1952 3 female 946 146 72 346 515 318 235 28 280
1348166 69 1 1944 10 female 538 14 11 67 6 0 4 67 2
1160103 35 4 1978 5 female 437 288 178 0 0 0 0 0 0
1200679 78 8 1935 12 male 1253 310 173 4383 3096 94 1912 4289 1184
1505859 18 16 1995 5 female 216 405 239 374 764 303 277 71 487
1558802 19 15 1994 2 male 425 621 524 1 6 1 5 0 1
1167950 19 17 1994 8 male 215 30 21 15 23 5 4 10 19
1930079 33 6 1980 4 male 54 18 13 0 0 0 0 0 0
1411963 24 17 1989 11 male 280 44 31 27 7 14 6 13 1
1038660 21 31 1992 7 male 426 26 14 0 0 0 0 0 0
1971312 49 21 1964 9 female 549 101 48 363 290 193 171 170 119
1115742 21 1 1992 4 female 738 0 0 0 0 0 0 0 0
1915111 50 10 1963 12 female 6 19 17 1 7 1 3 0 4
1798407 22 26 1991 10 male 115 21 11 0 0 0 0 0 0
2179200 56 21 1957 12 female 556 39 9 0 125 0 115 0 10
1894327 18 17 1995 11 female 409 5 1 0 1 0 1 0 0
1246466 33 17 1980 10 male 572 21 16 3 29 3 11 0 18
1259033 25 1 1988 1 male 196 190 182 606 237 464 108 142 129
1427286 33 5 1980 8 male 541 54 28 14 18 14 9 0 9
1423961 30 13 1983 12 female 412 178 93 25 71 12 38 13 33
2144859 33 19 1980 10 male 364 273 194 141 557 141 319 0 238
1397149 33 19 1980 9 male 181 17 11 10 11 10 11 0 0
1444935 26 14 1987 11 male 121 86 53 54 148 54 56 0 92
1642646 20 28 1993 9 female 268 332 261 535 864 410 384 125 480
1444734 37 8 1976 5 male 56 112 74 45 50 45 24 0 26
1839464 94 20 1919 10 female 163 167 113 0 1 0 1 0 0
1615637 34 27 1979 6 female 270 164 119 20 12 18 7 2 5
1529819 47 14 1966 3 male 354 338 262 0 4 0 3 0 1
2001184 27 18 1986 2 male 606 79 74 47 3 47 1 0 2
1297094 20 3 1993 3 male 425 357 169 1 2 1 2 0 0
1875814 22 24 1991 2 male 359 112 65 0 1 0 1 0 0
1138914 42 26 1971 3 female 769 87 67 0 0 0 0 0 0
1915187 28 10 1985 10 male 156 431 392 166 360 40 191 126 169
1821839 32 30 1981 9 female 499 74 16 62 98 62 82 0 16
1066217 21 7 1992 4 male 582 527 481 101 26 80 21 21 5
1815803 41 21 1972 9 female 652 69 35 114 183 114 91 0 92
1853817 15 19 1998 10 male 39 10 8 1 5 1 5 0 0
1691887 24 5 1989 2 male 306 27 8 1 0 1 0 0 0
2139348 19 23 1994 11 male 247 106 84 9 4 0 2 9 2
1542007 27 2 1986 9 male 115 12 8 1 0 1 0 0 0
1890096 26 12 1987 6 male 393 19 17 16 37 0 16 16 21
2050078 65 31 1948 3 female 1361 174 111 769 112 0 33 769 79
1249198 65 18 1948 11 female 1362 6 3 0 0 0 0 0 0
1038888 31 20 1982 3 female 662 152 62 385 156 385 149 0 7
1775876 75 27 1938 10 male 875 38 13 3 14 0 5 3 9
1305132 51 6 1962 10 male 222 159 132 125 95 100 17 25 78
1649883 25 14 1988 12 male 7 132 129 4 0 4 0 0 0
1322216 31 1 1982 5 male 446 15 7 1 0 0 0 1 0
1863495 108 8 1905 12 female 1486 68 48 368 65 0 41 368 24
1245997 24 11 1989 8 male 298 3 2 0 0 0 0 0 0
1004497 18 7 1995 7 female 176 54 22 0 0 0 0 0 0
2022677 26 27 1987 4 male 1085 41 31 2 0 2 0 0 0
1173534 14 13 1999 9 male 214 926 695 1155 544 1155 471 0 73
1591344 30 20 1983 9 female 541 34 24 0 0 0 0 0 0
1412026 30 6 1983 12 male 783 1 1 1 0 0 0 1 0
1090082 83 15 1930 9 female 1144 133 83 14 12 14 5 0 7
1054724 100 6 1913 6 male 531 94 83 65 60 65 35 0 25
1261327 64 7 1949 1 male 1392 24 4 10 7 10 4 0 3
2137022 33 1 1980 1 female 680 191 68 4 1 0 1 4 0
1663924 19 8 1994 8 male 727 439 258 5 33 2 25 3 8
1595991 68 13 1945 5 male 1232 102 33 0 5 0 5 0 0
1517012 32 19 1981 2 male 520 45 41 0 0 0 0 0 0
1268954 19 10 1994 10 female 678 168 65 15 17 0 0 15 17
1189872 41 16 1972 7 male 30 13 6 2 10 1 4 1 6
1146177 20 14 1993 11 male 311 445 345 53 109 53 67 0 42
1418014 25 2 1988 2 male 346 1 1 0 0 0 0 0 0
1085766 26 24 1987 9 female 59 35 30 2 3 2 0 0 3
1539546 37 13 1976 3 female 600 114 54 10 8 10 6 0 2
1550472 25 7 1988 6 male 36 52 51 0 0 0 0 0 0
1792794 51 17 1962 5 female 358 70 64 2 27 2 23 0 4
1873507 108 1 1905 1 female 1109 456 113 28 52 0 14 28 38
1543877 22 17 1991 3 male 576 190 164 375 511 66 150 309 361
2134217 31 6 1982 1 male 260 28 13 0 0 0 0 0 0
1626933 39 12 1974 10 female 621 101 42 106 124 106 109 0 15
2107411 23 24 1990 10 male 507 149 77 45 751 45 380 0 371
2027187 25 2 1988 3 male 284 83 39 5 18 2 9 3 9
1354957 102 29 1911 9 female 1429 121 62 4 2 0 0 4 2
1430815 37 20 1976 12 female 116 35 25 0 0 0 0 0 0
1402733 18 31 1995 7 male 97 151 130 11 9 11 9 0 0
2066997 26 2 1987 10 male 15 0 0 0 0 0 0 0 0
2040263 45 26 1968 8 male 435 214 164 253 420 253 334 0 86
1996303 51 7 1962 10 female 202 84 59 36 63 0 23 36 40
1083201 21 12 1992 6 male 1088 114 66 4 5 0 1 4 4
1607557 24 27 1989 6 male 536 75 64 36 5 33 4 3 1
1167854 42 2 1971 2 male 542 81 60 0 0 0 0 0 0
1231444 26 1 1987 1 male 493 48 36 3 7 3 7 0 0
1984915 70 20 1943 4 female 1424 60 34 38 23 38 23 0 0
1540630 36 18 1977 6 female 537 125 61 225 166 225 76 0 90
1008516 38 5 1975 12 male 1216 4 1 0 0 0 0 0 0
2072710 17 7 1996 2 male 228 129 104 0 11 0 11 0 0
1075752 91 30 1922 9 male 104 11 0 2 0 0 0 2 0
1740213 52 18 1961 1 female 88 101 89 15 42 0 9 15 33
1343749 18 6 1995 9 female 357 825 655 442 610 267 419 175 191
1949170 31 28 1982 2 male 146 11 6 0 0 0 0 0 0
1915300 17 15 1996 12 female 372 342 90 566 866 552 713 14 153
1746145 18 28 1995 6 female 515 186 90 111 44 111 31 0 13
1976900 21 9 1992 3 female 208 204 152 3865 2058 702 1592 3163 466
1676614 61 5 1952 12 female 293 108 63 38 67 38 29 0 38
1620529 108 5 1905 4 female 1088 528 192 12 7 12 6 0 1
2029068 92 1 1921 7 male 2224 71 17 1 75 0 25 1 50
2064330 30 8 1983 1 male 47 11 7 67 75 67 17 0 58
2175553 19 7 1994 5 female 20 5 1 8 9 8 8 0 1
2037603 55 28 1958 5 male 77 18 11 159 12 0 8 159 4
1752671 26 1 1987 1 male 386 165 142 0 3 0 3 0 0
1768674 71 27 1942 9 female 1526 234 117 84 69 51 37 33 32
1500611 27 12 1986 10 female 59 327 160 420 286 420 220 0 66
2091159 37 16 1976 6 female 433 30 10 0 0 0 0 0 0
1027575 65 19 1948 9 female 416 7 6 2 1 2 0 0 1
1169970 23 30 1990 10 male 564 67 61 17 3 17 3 0 0
1385055 102 29 1911 4 female 1712 291 169 78 31 4 15 74 16
2104653 22 10 1991 11 male 156 64 61 7 0 4 0 3 0
1853771 29 15 1984 2 male 3 2 2 1 2 0 0 1 2
1176745 46 26 1967 5 male 1342 29 8 0 0 0 0 0 0
2104258 51 22 1962 7 male 543 19 15 1 2 0 0 1 2
1725768 15 12 1998 2 male 221 33 15 10 0 10 0 0 0
1212708 38 28 1975 7 male 12 5 2 0 0 0 0 0 0
1467639 17 17 1996 5 female 110 39 26 0 0 0 0 0 0
1401445 33 29 1980 1 female 789 135 72 947 1235 379 236 568 999
1734706 51 13 1962 3 female 179 92 76 29 236 29 196 0 40
1944505 43 7 1970 6 male 823 2 0 5 2 0 0 5 2
2020382 93 11 1920 2 male 1192 198 103 58 40 58 25 0 15
2072664 23 3 1990 9 male 579 151 45 71 41 71 40 0 1
1188932 15 16 1998 10 male 1 3 3 0 1 0 0 0 1
1989460 31 22 1982 11 male 1362 128 115 4 22 4 22 0 0
1897966 32 28 1981 10 female 437 241 64 105 373 105 203 0 170
2001392 25 19 1988 6 female 570 268 215 251 302 19 216 232 86
1830800 44 13 1969 7 female 233 67 58 92 57 92 31 0 26
1917838 24 17 1989 11 male 215 160 115 288 164 288 125 0 39
2022131 16 14 1997 8 male 743 2294 1157 6 0 6 0 0 0
1752301 33 1 1980 1 male 42 40 35 4 9 4 8 0 1
1422687 46 8 1967 11 female 1559 419 273 776 408 776 264 0 144
2019247 61 11 1952 12 female 1659 107 34 3 1 3 1 0 0
1313740 18 12 1995 12 male 353 71 70 1 0 1 0 0 0
1211513 25 28 1988 2 male 51 75 70 3 1 0 0 3 1
2155693 108 13 1905 8 male 949 509 285 18 35 18 25 0 10
1957725 14 11 1999 12 female 14 21 13 10 35 10 22 0 13
1220674 100 20 1913 3 male 1433 955 576 146 838 146 590 0 248
2062309 33 12 1980 5 male 364 22 14 7 26 7 13 0 13
1280839 33 1 1980 1 male 724 239 186 12 32 12 32 0 0
2065844 63 18 1950 6 female 1338 83 36 0 1 0 1 0 0
1932911 22 6 1991 6 male 1737 236 166 51 65 51 55 0 10
1668425 32 19 1981 2 male 1576 326 276 12 45 12 21 0 24
1355781 20 15 1993 6 female 567 177 71 59 11 59 11 0 0
2187011 18 20 1995 4 male 180 68 49 41 0 41 0 0 0
1727210 56 20 1957 5 male 825 9 3 19 2 0 1 19 1
2123833 36 8 1977 11 female 495 27 12 4 0 4 0 0 0
1467896 28 16 1985 5 male 562 26 9 0 15 0 13 0 2
1480243 26 8 1987 4 male 142 45 38 251 384 246 284 5 100
1330915 108 12 1905 11 male 69 169 154 56 18 0 5 56 13
1003040 28 14 1985 7 female 359 32 28 0 0 0 0 0 0
1514499 25 10 1988 12 female 305 17 13 72 0 72 0 0 0
2155190 51 22 1962 8 male 333 6 5 0 0 0 0 0 0
1915101 20 26 1993 11 male 627 355 190 76 232 73 145 3 87
1685752 31 18 1982 2 male 554 77 16 1 5 1 2 0 3
1812145 28 19 1985 2 male 302 4 3 0 0 0 0 0 0
1771928 64 7 1949 8 female 2043 71 42 70 50 3 19 67 31
1220761 24 27 1989 5 female 1450 610 375 98 205 86 116 12 89
1036550 103 29 1910 7 female 301 127 73 23 55 23 35 0 20
2137681 69 30 1944 7 female 726 63 48 1 58 0 27 1 31
1565919 20 5 1993 2 male 642 570 539 0 1 0 1 0 0
2164634 15 8 1998 7 female 20 0 0 0 0 0 0 0 0
2138498 15 10 1998 6 female 743 363 165 6 23 4 15 2 8
1566173 100 1 1913 1 female 38 13 12 13 5 13 1 0 4
1558786 23 13 1990 4 male 975 165 106 0 0 0 0 0 0
1643195 102 31 1911 1 female 527 448 289 93 140 93 114 0 26
1851254 24 21 1989 2 male 421 37 21 0 0 0 0 0 0
2033726 60 4 1953 4 female 1793 146 47 113 219 113 132 0 87
1204385 28 9 1985 5 female 744 47 33 12 7 12 5 0 2
2122485 19 12 1994 11 male 379 630 485 584 472 33 291 551 181
2053722 29 29 1984 9 male 708 42 33 1 0 1 0 0 0
1114816 52 3 1961 7 female 352 123 38 143 25 128 7 15 18
1154685 15 22 1998 6 male 675 1678 992 0 5 0 5 0 0
1731429 18 17 1995 8 female 261 381 137 904 1044 894 592 10 452
1210766 21 25 1992 12 male 410 392 342 5 2 5 1 0 1
1397688 66 15 1947 8 female 1288 41 22 53 14 50 10 3 4
1184476 63 26 1950 5 female 1135 676 474 94 45 83 29 11 16
1286082 21 8 1992 9 male 361 201 147 5 0 0 0 5 0
1081221 26 25 1987 12 male 541 70 29 6 21 5 9 1 12
1103114 24 3 1989 4 male 710 77 47 0 0 0 0 0 0
1914608 24 26 1989 4 male 319 156 137 55 68 55 30 0 38
1004720 17 2 1996 4 male 287 266 239 4 0 4 0 0 0
1299041 39 3 1974 6 male 560 68 5 0 1 0 1 0 0
2178412 25 20 1988 1 male 335 1 0 0 0 0 0 0 0
1259477 29 13 1984 7 male 182 83 76 5 1 0 0 5 1
1731211 19 28 1994 12 female 360 320 246 1 0 1 0 0 0
1064392 80 3 1933 3 male 1132 1168 995 1134 203 1134 184 0 19
1690739 33 1 1980 1 male 749 4 2 0 2 0 0 0 2
1696784 58 19 1955 12 male 898 78 10 0 1 0 1 0 0
2180133 19 7 1994 8 male 411 66 52 2 0 0 0 2 0
1500556 42 3 1971 6 female 1541 1374 792 624 245 438 154 186 91
1183170 108 23 1905 4 male 1157 21 15 5 0 5 0 0 0
1195941 71 27 1942 7 female 161 42 15 2 5 0 0 2 5
2147482 60 29 1953 11 female 506 61 47 8 3 0 0 8 3
2018802 57 14 1956 3 female 234 57 40 14 84 14 54 0 30
1899919 48 4 1965 4 male 49 227 78 280 1039 24 394 256 645
1435254 18 11 1995 1 male 204 105 47 36 10 36 10 0 0
1001577 59 8 1954 5 female 464 165 52 112 383 101 261 11 122
1736635 72 4 1941 12 female 1587 60 10 0 0 0 0 0 0
1086780 43 6 1970 7 male 479 49 12 16 12 16 9 0 3
1443265 61 13 1952 5 female 506 55 14 0 0 0 0 0 0
1958254 60 13 1953 1 male 900 55 25 5 1 5 0 0 1
1209723 22 4 1991 10 female 285 109 25 57 12 31 10 26 2
1416921 37 6 1976 11 male 10 0 0 0 0 0 0 0 0
1634404 27 11 1986 5 male 829 115 60 0 0 0 0 0 0
2152770 40 17 1973 9 male 527 8 4 2 1 0 0 2 1
1901628 19 14 1994 1 male 677 219 145 80 68 80 64 0 4
1451499 18 17 1995 1 male 341 126 67 29 5 29 2 0 3
1587765 20 15 1993 7 male 456 76 40 12 0 0 0 12 0
1470573 43 22 1970 4 female 216 169 51 3161 1626 3160 851 1 775
2158296 55 18 1958 6 male 153 40 32 49 10 0 3 49 7
1844852 35 20 1978 6 female 502 59 43 26 35 26 10 0 25
1236815 29 24 1984 9 female 420 74 22 1 18 0 9 1 9
1222435 38 3 1975 10 female 140 225 54 28 342 28 278 0 64
2058866 21 8 1992 11 male 440 145 114 9 22 9 19 0 3
2112226 40 7 1973 5 male 233 2 2 70 1 16 0 54 1
2027877 55 15 1958 8 female 1592 198 53 343 1030 343 581 0 449
1690794 29 29 1984 2 male 551 65 51 32 17 32 6 0 11
1165987 20 7 1993 4 male 511 280 37 236 378 236 321 0 57
1347360 25 31 1988 5 male 622 196 131 4 3 4 0 0 3
1808197 25 5 1988 5 male 17 0 0 15 0 15 0 0 0
1001243 15 11 1998 11 male 28 0 0 0 0 0 0 0 0
1647599 24 17 1989 5 female 183 324 191 115 168 19 47 96 121
2111774 19 7 1994 7 male 331 188 144 33 5 7 2 26 3
1236695 108 5 1905 1 male 1246 361 285 47 26 47 18 0 8
1408673 32 28 1981 8 male 563 201 90 3 11 3 4 0 7
1690211 40 8 1973 2 male 239 60 42 439 127 439 83 0 44
1272375 62 20 1951 1 female 409 216 151 893 205 9 94 884 111
2110398 25 10 1988 4 female 452 214 131 7 1 7 1 0 0
1134913 108 6 1905 12 male 1648 419 242 72 47 31 15 41 32
1031184 26 21 1987 6 female 394 191 162 615 925 589 661 26 264
1103028 23 26 1990 9 female 402 198 125 112 244 112 66 0 178
1617172 25 26 1988 8 female 176 99 17 0 0 0 0 0 0
1724334 21 21 1992 11 male 251 0 0 0 0 0 0 0 0
1555930 17 5 1996 2 female 433 241 204 34 32 12 27 22 5
1846828 44 23 1969 7 male 58 58 53 1 32 1 25 0 7
1009062 103 14 1910 2 female 519 99 43 22 11 22 11 0 0
1470696 57 30 1956 11 female 525 94 58 22 24 0 13 22 11
2153131 50 27 1963 1 male 921 41 23 382 134 0 16 382 118
1944174 26 2 1987 3 male 7 0 0 0 0 0 0 0 0
2006886 57 14 1956 6 female 354 25 13 6 20 6 19 0 1
1374729 22 11 1991 10 male 389 97 65 3037 20 3037 8 0 12
1859545 15 10 1998 2 male 209 5 2 1 0 0 0 1 0
1870872 16 4 1997 7 male 153 43 35 27 0 27 0 0 0
1330490 65 23 1948 5 male 272 65 52 159 82 157 32 2 50
2076005 23 21 1990 9 male 593 151 110 4 4 2 2 2 2
1836006 23 7 1990 6 male 217 20 8 0 0 0 0 0 0
2054088 32 1 1981 1 female 229 3 1 0 1 0 0 0 1
2193460 30 1 1983 4 male 612 1 0 0 0 0 0 0 0
1186471 34 20 1979 4 female 719 113 79 205 246 205 207 0 39
1310249 68 7 1945 2 female 1891 212 168 1845 362 0 67 1845 295
1212075 68 12 1945 2 female 230 68 22 266 426 266 215 0 211
1932172 23 19 1990 1 female 400 1130 304 30 407 14 354 16 53
1169822 35 2 1978 2 male 263 1 0 0 0 0 0 0 0
1277534 19 8 1994 8 male 202 14 12 3 6 3 1 0 5
1534040 25 12 1988 1 male 363 179 150 368 96 0 28 368 68
1010206 16 8 1997 11 male 225 205 140 6 3 6 2 0 1
1651944 50 18 1963 2 male 421 28 12 31 0 0 0 31 0
1841605 42 17 1971 7 male 198 64 27 66 12 35 6 31 6
1574486 19 1 1994 1 male 245 8 8 0 4 0 1 0 3
2176879 14 5 1999 1 female 127 486 375 1565 1118 1124 551 441 567
2102979 29 6 1984 4 female 242 31 15 0 1 0 1 0 0
1636666 65 1 1948 11 female 1021 128 51 222 71 222 67 0 4
2002082 23 10 1990 1 male 274 8 5 0 0 0 0 0 0
1380484 22 1 1991 1 male 542 0 0 0 0 0 0 0 0
1490009 72 1 1941 1 female 271 49 38 5 6 5 2 0 4
1859170 22 12 1991 5 female 453 55 34 10 2 10 1 0 1
1651551 39 1 1974 10 male 559 9 4 9 6 7 4 2 2
1805935 43 1 1970 1 male 1081 42 37 2 0 2 0 0 0
2123959 32 11 1981 11 female 749 696 453 1578 893 0 333 1578 560
1980663 33 6 1980 6 male 622 70 43 301 186 301 158 0 28
1602699 24 10 1989 10 male 523 11 8 0 0 0 0 0 0
1038545 67 9 1946 6 female 1206 28 5 2 0 0 0 2 0
1969133 22 3 1991 8 male 53 215 207 170 281 73 115 97 166
1347371 17 17 1996 2 male 386 154 108 50 7 0 3 50 4
2175095 41 9 1972 8 male 527 2 2 1 1 1 1 0 0
